parcel_id,building_no,Total Rooms,Year Built,Building SF,Energy Adj,Roughins,Bedrooms,Effect Age,Quality,Bsmt Wall,Plumb Fixt,Full Baths,Condition,Style,Bsmt SF,Fireplaces,Half Baths,Phys Depr,Design,Bsmt Fin,Porch,Kitchens,Funct Depr,Bldg Type,Bsmt Fin SF,Gar/Shed,Econ Depr,Notes
0120025,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
0120026,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
0120027,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
0120028,1,8,1995,4103.00,Average,1,4,31,5.00,Conc 8in,14,4,Good,1.5 Fin,2314,1,,15,CapeCod,,518,1,,Single,,336,,
012003001,1,4,2026,788.00,Good,1,1,,3.25,No Data,5,1,Average,1 Story,,,,,One Story,,380,1,,Single,,,,
012003002,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
012003003,1,6,2026,1752.00,Good,1,2,,3.50,Conc 8in,8,2,Average,2 Story,216,,,,Contemp,1,,1,,Single,,,,
012003004,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
012003005,1,6,2007,2560.00,Good,1,3,19,4.50,Conc 8in,11,3,Average,2 Story,1505,1,,17,Two Story,3,644,1,,Single,500,1025,,
0120031,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
0120033,1,11,1981,5502.00,Good,1,5,45,5.50,No Data,16,4,Good,1.5 Fin,,1,,18,One Story,,,1,,Single,,972,,
0120034,1,7,1964,2251.00,Good,1,4,62,5.50,Conc 8in,13,3,Good,1 Story,2370,1,1,25,One Story,4,3442,1,,Single,2198,,,
0120036,1,6,1979,1610.00,Average,1,3,47,3.50,No Data,8,2,Good,1.5 Fin,,,,19,No Data,,868,1,,Single,,,,
0120037,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
0120039,1,8,2005,3296.00,Good,1,4,21,3.50,Conc 8in,13,3,Average,2 Story,1684,,1,18,Two Story,4,1879,1,,Single,1684,2056,,
012004,1,8,1966,1632.00,Average,1,3,60,3.25,Conc 8in,8,2,Avg/Good,2 Story,1008,,,28,Contemp,4,636,1,,Single,1008,,,
012005,1,10,2023,3436.00,Excellent,1,3,3,5.00,Conc 8in,13,3,Average,1.5 Fin,2502,1,1,3,1.5 Sty,4,699,1,,Single,160,875,,
0140001,1,10,1900,2384.00,Good,1,4,70,3.50,Conc 8in,13,3,Avg/Good,1.5 Fin,962,,,32,Contemp,1,456,2,,Single,,,,
0140002,1,11,1978,2463.00,Good,1,5,48,3.50,Conc 8in,16,4,Average,1.5 Fin,1972,,,29,Contemp,4,986,2,,Single,1025,,,
0140003,1,8,1978,1890.00,Good,1,4,48,4.00,Conc 8in,13,3,Average,1.5 Fin,1260,1,,29,Contemp,5,384,2,,Single,750,,,
0140004,1,12,1979,3681.00,Good,1,6,47,4.00,Conc 8in,18,4,Avg/Good,1.5 Fin,952,1,2,23,1.5 Sty,4,412,1,,Single,499,440,,
0140005,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
0140006,1,5,1962,560.00,Average,1,3,64,3.00,Conc 8in,7,1,Good,1 Story,560,1,1,26,One Story,4,420,1,,Single,560,,,
0140007,1,5,1979,552.00,Average,1,3,47,3.00,Conc 8in,5,1,Avg/Good,1 Story,552,,,23,One Story,4,348,1,,Single,480,,,
0140007,2,1,2024,144.00,Good,1,,2,4.00,No Data,1,,Average,1 Story,,,,1,Camp,,,,,Camp,,,,
0140008,1,2,1982,508.00,Average,1,1,44,3.00,No Data,5,1,Avg/Good,1.5 Fin,,,,22,1.5 Sty,,263,1,,Single,,,,
0140009,1,9,1900,3072.00,Good,1,4,70,5.00,Conc 8in,13,3,Good,2 Story,1842,1,1,28,Contemp,1,868,1,,Single,,,,
014000901,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
0140011,1,6,1976,2092.00,Average,1,4,50,3.50,No Data,11,3,Avg/Good,1.5 Fin,,,,25,1.5 Sty,,878,1,,Single,,504,,
0140012,1,5,1976,1612.00,Good,1,3,50,3.25,Conc 8in,8,2,Avg/Good,2 Story,560,,,25,Colonial,1,168,1,,Single,,,,
0140013,1,7,1978,2624.00,Average,1,4,48,4.00,No Data,10,2,Average,2 Story,,1,1,29,Colonial,,464,1,,Single,,440,,
0140014,1,7,1994,2260.00,Average,1,4,32,4.00,Conc 8in,10,2,Average,2 Story,1008,1,1,22,Contemp,3,1145,1,,Single,808,,,
0140015,1,9,1979,3124.00,Average,1,4,47,5.00,No Data,11,3,Good,2 Story,,1,,19,Contemp,,1156,1,,Single,,,,
0160001,1,8,1870,2198.00,Good,1,4,60,4.00,Conc 8in,13,3,Good,1.5 Fin,736,1,1,24,CapeCod,,128,1,,Single,,,,
0160002,1,6,1900,1246.00,Average,1,3,60,3.00,Conc 8in,5,1,Fair,1.5 Fin,871,,,50,CapeCod,,150,1,,Single,,630,,
0160003,1,6,2019,1728.00,Good,1,3,7,4.00,Conc 8in,11,2,Average,2 Story,864,,1,7,Two Story,4,392,1,,Single,764,,,
0160004,1,12,1850,3232.00,Good,1,6,50,4.25,Stone,10,2,Good,1.5 Fin,858,,,20,1.5 Sty,1,680,1,,Single,,,,
0160005,1,7,1850,2067.00,Average,1,4,70,3.50,Blk 8in,8,2,Average,1.5 Fin,1232,,,40,CapeCod,6,180,1,,Single,,420,,
0160006,1,9,1971,1116.00,Good,1,4,55,3.00,Conc 8in,11,3,Average,1 Story,1116,1,,32,Ranch,4,335,1,,Single,1116,,,
0160007,1,6,1965,1240.00,Average,1,3,60,3.25,Conc 8in,7,1,Average,1 Story,1240,1,1,35,Ranch,,80,1,,Single,,690,,
0160008,1,12,1979,3765.00,Good,1,2,47,4.50,Conc 8in,15,3,Avg/Good,2 Story,1428,1,,23,CapeCod,,813,1,,Single,,1782,,
0160009,1,13,1875,3010.00,Good,1,5,70,5.00,Conc 8in,20,4,Good,1.5 Fin,840,,1,28,Colonial,1,504,2,,Single,,190,,
016001,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
0160011,1,6,1900,1497.00,Average,1,3,80,3.25,Conc 8in,5,1,Average,1.5 Fin,320,,,45,CapeCod,1,72,1,,Single,,209,,
0160012,1,11,1900,1979.00,Average,1,4,70,3.25,Conc 8in,10,2,Average,1.5 Fin,952,,1,40,CapeCod,3,161,1,,Single,196,,,
0160013,1,17,1800,4082.00,Average,1,8,90,3.50,Blk 8in,15,3,Fair/Avg,1.5 Fin,2599,,,57,CapeCod,1,580,3,,Single,,,,
0160014,1,7,1900,1760.00,Average,1,3,70,3.50,Conc 8in,10,2,Avg/Good,1.5 Fin,525,,1,32,CapeCod,1,209,1,,Single,,,,
0160015,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
0160016,1,7,1973,936.00,Average,1,4,53,3.25,Conc 8in,8,2,Avg/Good,1 Story,936,,,26,Ranch,4,1050,1,,Single,736,,,
0160017,1,6,1900,2472.00,Average,1,2,70,3.75,Stone,11,3,Avg/Good,1.5 Fin,952,1,,32,CapeCod,1,1154,1,,Single,,,,
0160018,1,7,1998,2075.00,Good,1,3,28,3.75,Conc 8in,10,2,Average,1 Story,1886,1,1,21,Contemp,4,762,1,,Single,977,,,
016002,1,6,1850,2532.00,Good,1,4,60,5.00,Conc 8in,13,3,Good,2.5 Fin,1292,1,1,24,Contemp,1,820,1,,Single,,,,
016002001,1,4,2023,1575.00,Good,1,3,3,3.75,Conc 8in,10,2,Avg/Good,1 Story,1575,1,1,,One Story,4,775,1,,Single,1375,728,,
0160021,1,8,1985,3054.00,Good,1,5,41,4.00,Conc 8in,16,4,Avg/Good,1.5 Fin,1088,,1,21,CapeCod,1,916,1,,Single,,480,,
016002301,1,6,1840,1760.00,Good,1,3,70,3.50,Conc 8in,8,2,Average,1.5 Fin,468,1,,40,CapeCod,6,320,1,,Single,,,,
0160024,1,11,1973,2869.00,Average,1,8,53,4.50,Conc 8in,17,5,Avg/Good,2.5 Fin,1321,1,,26,Contemp,4,1439,1,,Single,960,361,,
0160025,1,7,1970,2554.00,Good,1,4,56,4.00,No Data,11,3,Avg/Good,2 Story,,2,,26,Contemp,,280,1,,Single,,,,
0160026,1,4,1978,1664.00,Average,1,3,48,3.75,Conc 8in,8,2,Avg/Good,1.5 Fin,896,,,24,CapeCod,1,112,1,,Single,,,,
0160027,1,9,1974,2160.00,Average,1,4,52,3.75,No Data,11,3,Avg/Good,1.5 Fin,,,,25,Contemp,,854,1,,Single,,,,
0160028,1,11,2005,3718.00,Good,1,3,21,5.25,Conc 8in,19,5,Very Good,1.5 Fin,1072,1,1,9,Contemp,4,1438,1,,Single,872,766,,
016003,1,5,1976,1433.00,Average,1,2,50,3.25,No Data,7,1,Average,1.5 Fin,,,1,30,Saltbox,,330,1,,Single,,,,
0160031,1,5,1976,1440.00,Average,1,3,50,3.25,Conc 8in,7,1,Average,1.5 Fin,840,,1,30,Contemp,4,747,1,,Single,640,,,
0160032,1,7,1850,1872.00,Average,1,3,80,3.00,Stone,8,2,Poor,1.5 Fin,900,1,,66,CapeCod,6,234,1,,Single,,315,,
0160033,1,5,2025,1216.00,Good,1,3,1,3.50,Conc 8in,8,2,Average,1.5 Fin,768,,,,1.5 Sty,4,,1,,Single,768,,,
0160035,1,16,1856,4048.00,Good,1,8,80,4.50,Conc 8in,28,8,Avg/Good,1.5 Fin,2638,2,1,36,CapeCod,4,1189,1,,Single,2438,,,
016003502,1,4,1999,1176.00,Good,1,2,27,3.50,No Data,8,2,Avg/Good,1.5 Fin,,1,,17,Contemp,,,1,,Single,,,,
0160036,1,5,2003,1696.00,Average,1,3,23,3.25,Conc 8in,10,2,Average,1.5 Fin,864,,1,18,CapeCod,1,140,1,,Single,,,,
0160037,1,6,1982,2423.00,Average,1,3,44,4.00,Conc 8in,8,2,Avg/Good,1.5 Fin,728,1,,22,Contemp,1,132,1,,Single,,,,
0160038,1,5,1992,1680.00,Average,1,3,34,3.25,Conc 8in,7,1,Avg/Good,1.5 Fin,644,,1,19,1.5 Sty,1,507,1,,Single,,,,
016003901,1,6,1997,2432.00,Good,1,4,29,3.75,Conc 8in,13,3,Avg/Good,1.5 Fin,1496,1,1,17,CapeCod,3,552,1,,Single,168,,,
016003902,1,4,2015,1912.00,Good,1,2,11,3.50,Conc 8in,11,3,Average,2 Story,936,,,11,Two Story,5,286,1,,Single,870,624,,
016003903,1,7,2004,3288.00,Good,1,3,22,4.00,Conc 8in,11,3,Avg/Good,1.5 Fin,1216,,,15,Contemp,4,806,1,,Single,1117,630,,
016004,1,9,1850,2407.00,Average,1,4,60,3.75,Stone,13,3,Avg/Good,1.5 Fin,840,,1,28,CapeCod,1,489,1,,Single,,,,
0160041,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
016004101,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
016004102,1,12,2009,4951.00,Good,1,5,17,6.00,Conc 8in,22,6,Good,2 Story,1951,1,1,11,Two Story,4,717,1,,Single,1951,780,,
0160042,1,8,1960,2380.00,Average,1,3,66,3.25,Conc 8in,8,2,Average,2 Story,968,,,38,Log,1,882,1,,Single,,,,
0160044,1,16,1975,5771.00,Average,1,5,51,4.00,Conc 8in,20,4,Average,1.5 Fin,2598,2,1,30,Contemp,4,1188,1,20,Single,2397,915,,
016004401,1,10,1991,1519.00,Good,1,3,35,3.50,Conc 8in,10,2,Avg/Good,1.5 Fin,869,,1,19,1.5 Sty,4,321,1,,Single,669,480,,
0160045,1,6,1880,2052.00,Average,2,3,80,3.75,Stone,8,2,Good,1.5 Fin,940,1,,32,CapeCod,6,779,1,,Single,,,,
0160046,1,10,1989,3872.00,Good,1,3,37,5.50,Conc 8in,15,3,Avg/Good,2 Story,2107,2,1,20,Contemp,4,631,1,,Single,500,868,,
01600461,1,15,2014,3484.00,Excellent,1,5,12,6.00,Conc 8in,16,3,Good,1.5 Fin,1499,1,1,8,1.5 Sty,4,734,1,,Single,1499,985,,
01600462,1,7,2021,3106.00,Excellent,1,3,5,5.50,Conc 8in,13,3,Good,1.5 Fin,1761,1,1,1,1.5 Sty,,446,1,,Single,,,,
0160047,1,8,1850,2415.00,Average,2,5,70,4.25,Blk 8in,8,2,Avg/Good,1.5 Fin,800,1,,32,CapeCod,1,384,1,,Single,,,,
0160049,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
016005,1,7,1996,2548.00,Good,1,3,30,4.25,Conc 8in,15,3,Good,1.5 Fin,1864,1,2,14,1.5 Sty,1,393,1,,Single,,624,,
0160051,1,8,1979,2071.00,Average,1,4,47,3.25,Conc 8in,8,2,Avg/Good,1.5 Fin,1371,,,23,Saltbox,1,360,1,,Single,,,,
016005101,1,9,1989,2501.00,Average,1,5,37,3.75,Conc 8in,15,4,Avg/Good,1.5 Fin,910,,,20,CapeCod,1,854,1,,Single,,624,,
016005102,1,6,2010,2319.00,Good,1,3,16,4.50,Conc 8in,13,3,Avg/Good,2 Story,1386,1,1,12,Contemp,4,589,1,,Single,364,,,
0160052,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
016005201,1,6,1996,1960.00,Average,1,3,30,3.50,Conc 8in,11,2,Average,1.5 Fin,340,,1,21,CapeCod,4,1317,1,,Single,668,,,
016005202,1,10,2003,2572.00,Good,1,4,23,3.50,Conc 8in,16,4,Good,1.5 Fin,1728,,,12,1.5 Sty,4,1515,1,,Single,1566,,,
016005203,1,9,2000,2912.00,Average,1,8,26,3.25,Conc 8in,17,5,Average,2 Story,1456,,,20,Modular,3,316,1,,Single,1115,,,
0160053,1,7,2004,3568.00,Good,1,4,22,4.50,Conc 8in,12,2,Avg/Good,1.5 Fin,2040,1,2,15,CapeCod,4,1200,1,,Single,1208,720,,
0160054,1,8,1979,2730.00,Average,1,4,47,3.25,Conc 8in,13,3,Average,1.5 Fin,1560,,1,29,Saltbox,1,456,1,,Single,,,,
016005501,1,6,1980,1872.00,Average,1,4,46,3.50,Conc 8in,10,2,Average,2 Story,936,1,1,28,CapeCod,4,874,1,,Single,888,,,
016005502,1,5,2023,1210.00,Good,1,3,3,3.50,Conc 8in,8,2,Avg/Good,1.5 Fin,728,,,,1.5 Sty,2,120,1,,Single,528,,,
016005503,1,7,2001,1968.00,Good,1,4,25,3.25,Conc 8in,11,3,Average,1.5 Fin,1120,,,19,1.5 Sty,4,864,1,,Single,920,,,
016005504,1,6,2003,1806.00,Good,1,3,23,4.50,Conc 8in,8,2,Good,1.5 Fin,1816,1,,12,CapeCod,1,288,1,,Single,,462,,
016005505,1,5,2002,1511.00,Good,1,3,24,3.50,Conc 8in,8,2,Good,1.5 Fin,804,,,13,1.5 Sty,4,334,1,,Single,195,,,
016005507,1,5,2001,2249.00,Good,1,3,25,5.25,Blk 8in,10,2,Good,1.5 Fin,195,,1,13,Contemp,,867,1,,Single,,,,
016005509,1,5,2002,2048.00,Good,1,3,24,4.25,Conc 8in,11,3,Good,2 Story,1024,1,,13,Colonial,1,626,1,,Single,,,,
016005510,1,7,2004,2845.00,Good,1,3,22,4.50,Conc 8in,14,4,Good,1.5 Fin,1280,1,,12,1.5 Sty,1,774,1,,Single,,570,,
016005511,1,4,2004,1544.00,Good,1,3,22,3.50,Conc 8in,8,2,Avg/Good,1.5 Fin,936,,,15,CapeCod,4,627,1,,Single,736,,,
016005512,1,7,2004,2329.00,Good,1,3,22,4.75,Conc 8in,10,2,Good,1.5 Fin,1530,1,1,12,1.5 Sty,2,596,1,,Single,1330,,,
016005513,1,6,2007,2154.00,Good,1,3,19,4.50,Conc 8in,11,3,Good,1.5 Fin,1674,,,11,1.5 Sty,1,474,1,,Single,,,,
016005515,1,8,1998,1916.00,Good,1,3,28,3.50,Blk 8in,10,2,Avg/Good,2 Story,668,1,1,17,Contemp,4,992,1,,Single,503,,,
016005516,1,6,2001,1630.00,Good,1,2,25,3.50,Conc 8in,8,2,Avg/Good,1.5 Fin,864,,,16,CapeCod,1,300,1,,Single,,,,
0160056,1,,1998,3413.00,Good,1,3,28,5.00,Conc 8in,8,2,Avg/Good,2 Story,1108,,,17,CapeCod,4,793,1,,Single,1284,768,,
0160056,2,7,1999,2216.00,Average,1,3,27,3.50,Conc 8in,8,2,Average,2 Story,1108,1,,20,Contemp,4,303,1,,Single,852,220,,
0160057,1,6,2023,1776.00,Good,1,3,3,4.25,Conc 8in,8,2,Average,1 Story,984,,,3,Contemp,4,944,1,,Single,984,792,,
0160058,1,6,1850,1408.00,Average,1,3,85,3.25,Blk 8in,8,2,Fair,1.5 Fin,960,,,61,CapeCod,1,40,1,,Single,,,,
0160059,1,9,2015,3012.00,Good,1,3,11,5.00,Conc 8in,10,2,Average,1.5 Fin,1788,2,1,11,Colonial,1,2000,1,,Single,,750,,
016005901,1,9,1832,2918.00,Average,1,4,50,4.75,Stone,8,2,Very Good,1.5 Fin,567,1,,16,CapeCod,6,72,1,,Single,,,,
016006000,1,8,1989,2908.00,Average,1,4,37,4.00,Conc 8in,10,2,Average,2.5 Fin,1120,1,1,24,Colonial,1,484,1,,Single,,,,
0160061,1,10,1987,2843.00,Average,1,5,39,3.75,Conc 8in,17,5,Avg/Good,2 Story,1724,1,,21,Colonial,4,533,1,,Single,1152,294,,
0160061,2,3,2021,388.00,Good,1,2,5,4.50,No Data,5,1,Avg/Good,1.5 Fin,,,,3,1.5 Sty,,238,1,,Camp,,,,
0160062,1,6,1973,1116.00,Average,1,3,53,2.75,Blk 8in,5,1,Fair/Avg,1.5 Fin,308,,,39,A-Frame,1,316,1,,Single,,,,
0220001,1,6,1900,1152.00,Average,1,3,50,3.25,Stone,8,2,Average,1.5 Fin,480,,,30,1.5 Sty,1,126,1,,Single,,288,,
0220002,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
0220003,1,5,1900,1200.00,Average,1,2,50,3.25,Stone,7,1,Avg/Good,1.5 Fin,720,,1,25,1.5 Sty,,,1,,Single,,,,
022000301,1,5,2023,1040.00,Good,1,2,3,4.00,Conc 8in,5,1,Average,1.5 Fin,768,,,3,1.5 Sty,,432,1,,Single,,,,
0220004,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
0220005,1,11,2002,4714.00,Good,2,5,24,4.50,Conc 8in,21,5,Average,2 Story,2240,4,1,19,Duplex,,1964,2,,Single,,,,
022000501,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
0220006,1,6,1971,1561.00,Average,1,3,55,4.00,Conc 8in,11,3,Good,1.5 Fin,780,1,,22,1.5 Sty,4,1027,1,,Single,780,,,
0220007,1,9,1973,2076.00,Average,1,3,53,3.50,No Data,11,3,Average,1.5 Fin,,,,31,1.5 Sty,,558,1,,Single,,,,
0220007,2,3,2022,1344.00,Good,1,2,4,3.50,No Data,8,2,Average,1.5 Fin,,,,4,1.5 Sty,,,1,,Single,,,,
0220009,1,8,1975,2332.00,Average,2,4,51,4.00,No Data,14,2,Good,2.5 Fin,,1,2,20,2.5 Story,,536,2,,Single,,,,
022001,1,5,1976,1968.00,Average,1,3,50,3.50,No Data,7,1,Average,2.5 Fin,,1,1,30,2.5 Story,,416,1,,Single,,,,
022001,2,2,2025,960.00,Good,1,1,1,4.00,No Data,6,1,Average,1 Story,,,,,Contemp,,394,1,,Single,,,,
0220012,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
0220013,1,11,1967,3670.00,Average,1,4,59,3.50,Conc 8in,16,4,Good,1.5 Fin,1922,2,1,24,1.5 Sty,4,681,1,,Single,1208,,,
0220014,1,9,1985,4155.00,Average,1,4,41,5.00,Conc 8in,19,4,Good,1.5 Fin,1566,1,1,17,1.5 Sty,1,1445,1,,Single,,668,,
0220015,1,13,1990,3806.00,Average,1,6,36,5.00,Conc 8in,16,3,Good,2 Story,1682,2,1,16,Two Story,4,818,1,,Single,810,863,,
0220016,1,10,1972,2889.00,Average,1,3,54,5.00,No Data,15,4,Average,1.5 Fin,,1,,32,1.5 Sty,,1123,1,,Single,,,,
0220017,1,11,1937,2887.00,Average,1,3,50,3.50,Stone,10,2,Fair/Avg,1.5 Fin,1306,1,1,37,1.5 Sty,2,520,1,,Single,528,,,
022001702,1,4,2005,1127.00,Good,1,1,21,3.50,WoodFrame,5,1,Average,1.5 Fin,823,,,18,1.5 Sty,1,102,1,,Single,,,,
022001703,1,8,1992,3522.00,Good,1,5,34,5.00,Conc 8in,13,3,Avg/Good,1.5 Fin,1069,1,,19,1.5 Sty,4,885,1,,Single,928,546,,
022001704,1,9,2003,3344.00,Good,1,4,23,3.50,Conc 8in,11,3,Average,2.5 Fin,1232,,,18,Colonial,,288,1,,Single,,780,,
0230001,1,5,1813,1428.00,Average,1,2,60,3.75,Stone,8,2,Avg/Good,1.5 Fin,620,,,28,1.5 Sty,1,390,1,,Single,,,,
0230002,1,13,1850,3900.00,Average,1,3,70,3.75,Conc 8in,8,2,Avg/Good,2.5 Fin,1508,,,32,2.5 Story,1,623,1,,Single,,,,
0230003,1,7,2023,1344.00,Good,1,2,3,3.75,Conc 8in,8,2,Average,1.5U (SF),1344,,,3,One Story,,266,1,,Single,,,,
0230005,1,7,1971,2268.00,Average,1,3,55,3.75,Conc 8in,8,2,Avg/Good,1.5 Fin,1200,1,,26,Chalet,1,1816,1,,Single,,,,
0230006,1,5,2011,1886.00,Good,1,3,15,3.50,Conc 8in,8,2,Average,1.5 Fin,1058,1,,15,Colonial,3,324,1,,Single,977,,,
023000602,1,5,2006,2308.00,Good,,3,20,3.75,Conc 8in,10,2,Average,1.5 Fin,1372,1,1,17,1.5 Sty,3,456,1,,Single,672,,,
02300061,1,6,2022,2580.00,Good,1,3,4,4.00,Conc 8in,13,3,Average,1.5 Fin,1780,,1,4,1.5 Sty,,519,1,,Single,,,,
0230008,1,8,1830,2250.00,Average,1,4,80,3.75,Conc 8in,5,1,Average,1.5 Fin,400,,,45,1.5 Sty,1,1120,1,5,Single,,,,
0230009,1,8,1979,2593.00,Average,1,4,47,3.50,Conc 8in,13,3,Average,2.5 Fin,960,,,29,Colonial,1,409,1,,Single,,656,,
023001,1,9,1971,1420.00,Average,1,3,55,3.00,Conc 8in,10,2,Fair,1 Story,1452,1,1,47,Ranch,3,32,1,,Single,1232,784,,
02300101,1,6,2015,1836.00,Good,1,3,11,3.50,Conc 8in,11,3,Average,2 Story,918,,,11,Two Story,,382,1,,Single,,,,
02300102,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
02300103,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
0230011,1,5,1889,1559.00,Average,1,2,70,3.50,Blk 8in,8,2,Avg/Good,1.5 Fin,1055,,,32,1.5 Sty,3,807,1,,Single,144,,,
0230012,1,4,2019,1519.00,Good,1,2,7,3.25,Conc 8in,8,2,Average,1 Story,1635,,,7,One Story,3,606,1,,Single,1393,324,,
0230013,1,5,1978,960.00,Average,1,3,48,3.00,Conc 8in,5,1,Average,1 Story,960,,,29,No Data,4,500,1,,Single,960,,,
023001301,1,2,2020,664.00,Average,1,1,6,3.00,No Data,5,1,Average,1 Story,,,,6,1.5 Sty,,184,1,,Single,,,,
023001302,1,5,2020,1600.00,Good,1,2,6,3.50,No Data,8,2,Average,1.5 Fin,,,,6,1.5 Sty,,348,1,,Single,,,,
023001303,1,,2024,3290.00,Good,1,,2,4.25,No Data,11,3,Average,2 Story,,,,1,Two Story,,1262,1,,Single,,,,
023001304,1,8,2024,2016.00,Good,1,3,2,3.25,Conc 8in,10,2,Average,2 Story,1008,,1,1,Two Story,,420,1,,Single,,,,
023001305,1,,,,No Data,,,,,No Data,,,No Data,No Data,,,,,No Data,,,,,No Data,,,,
023001401,1,9,1988,2166.00,Average,1,3,38,3.75,Conc 8in,11,3,Average,1.5 Fin,1330,1,,25,Contemp,4,1442,1,,Single,880,,,
023001402,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
023001403,1,5,2004,2663.00,Good,1,3,22,4.00,Conc 8in,10,2,Avg/Good,1.5 Fin,1812,1,1,15,Contemp,3,638,1,,Single,604,,,
023001404,1,7,1988,1772.00,Average,1,4,38,3.50,Conc 8in,10,2,Avg/Good,1.5 Fin,1492,1,1,20,1.5 Sty,4,765,1,,Single,1064,,,
023001405,1,9,1996,3406.00,Average,1,4,30,3.50,Conc 8in,13,2,Average,2 Story,1461,,1,21,Two Story,1,578,1,,Single,,576,,
023001501,1,7,1992,3199.00,Average,1,3,34,5.00,Conc 8in,15,3,Good,1.5 Fin,2714,,2,15,Contemp,3,971,1,,Single,1260,528,,
023001502,1,6,2016,1174.00,Good,1,2,10,3.25,Conc 8in,5,1,Average,2 Story,699,,,10,Two Story,,324,1,,Single,,,,
0230016,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
023001701,1,8,2015,2802.00,Good,1,4,11,4.00,No Data,11,3,Avg/Good,2 Story,,1,,8,Contemp,1,207,1,,Single,,,,
0230018,1,8,2021,2264.00,Good,1,4,5,4.00,Conc 8in,10,2,Average,2 Story,1247,,1,5,Two Story,3,559,1,,Single,500,624,,
0230019,1,6,1994,2674.00,Average,1,3,32,4.00,Conc 8in,8,2,Avg/Good,2 Story,1684,1,,18,Two Story,1,624,1,,Single,,,,
0230021,1,11,2007,4633.00,Good,1,6,19,6.00,Conc 8in,21,5,Avg/Good,2 Story,1205,1,2,14,Contemp,4,1558,1,,Single,1095,744,,
0230022,1,11,1979,4279.00,Average,1,5,47,5.00,Conc 8in,11,2,Good,1.5 Fin,635,1,1,19,1.5 Sty,1,1271,1,,Single,,,,
023002201,1,7,2002,1808.00,Good,1,3,24,3.50,Conc 8in,7,2,Avg/Good,1.5 Fin,1248,1,1,16,CapeCod,5,680,2,,Single,896,,,
0230023,1,9,1982,3743.00,Average,1,5,44,4.00,Conc 8in,11,3,Avg/Good,1.5 Fin,1814,,,22,Contemp,3,2248,1,,Single,143,,,
0230023,2,6,2023,1560.00,Good,1,2,3,3.25,Conc 8in,8,2,Average,1.5 Fin,1008,,,3,1.5 Sty,,327,1,,Single,,,,
023002301,1,7,1991,4001.00,Average,1,4,35,4.50,Conc 8in,11,3,Avg/Good,1.5 Fin,840,,,19,1.5 Sty,,924,1,,Single,,,,
023002301,2,3,1991,748.00,Average,1,1,35,3.25,No Data,5,1,Avg/Good,1 Story,,,,19,One Story,,,1,,Single,,,,
0230024,1,8,1890,2032.00,Average,1,5,50,3.50,No Data,8,2,Good,2 Story,,,,20,Two Story,,,1,,Single,,,,
023002501,1,5,1982,1478.00,Average,1,3,44,3.50,Conc 8in,8,2,Average,1.5 Fin,717,,,27,Contemp,1,723,1,,Single,,,,
023002502,1,5,1984,1616.00,Average,1,2,42,4.00,Conc 8in,7,1,Average,2.5 Fin,676,,1,27,2.5 Story,1,590,1,,Single,,,,
